"1,603928,N\u5174\u4e1a,14.57,4.45,43.97%,24.01,230,335086,10.12,12.14,14.57,12.14,-,-,-,-,-,-,-,-,0.00%,-,0.05,24.84"
"1,603036,\u5982\u901a\u80a1\u4efd,10.84,0.99,10.05%,0.00,123,132823,9.85,10.84,10.84,10.84,-,-,-,-,-,-,-,-,0.00%,0.67,0.02,34.68"
"1,603990,\u9ea6\u8fea\u79d1\u6280,16.89,1.54,10.03%,0.00,75,126675,15.35,16.89,16.89,16.89,-,-,-,-,-,-,-,-,0.00%,2.50,0.04,65.25"
"1,600722,\u91d1\u725b\u5316\u5de5,9.98,0.91,10.03%,11.03,246500,233953277,9.07,9.06,9.98,8.98,-,-,-,-,-,-,-,-,0.00%,3.48,3.62,324.03"
"1,603819,\u795e\u529b\u80a1\u4efd,36.04,3.28,10.01%,0.00,1560,5622853,32.76,36.04,36.04,36.04,-,-,-,-,-,-,-,-,0.00%,4.85,0.52,93.50"
"1,603336,\u5b8f\u8f89\u679c\u852c,42.10,3.83,10.01%,0.00,4106,17284913,38.27,42.10,42.10,42.10,-,-,-,-,-,-,-,-,0.00%,5.13,1.23,93.72"
"1,603319,\u6e58\u6cb9\u6cf5,32.31,2.94,10.01%,0.00,275,889785,29.37,32.31,32.31,32.31,-,-,-,-,-,-,-,-,0.00%,2.95,0.14,52.31"
"1,603033,\u4e09\u7ef4\u80a1\u4efd,33.64,3.06,10.01%,0.00,107,359443,30.58,33.64,33.64,33.64,-,-,-,-,-,-,-,-,0.00%,1.51,0.05,39.26"
"1,603660,\u82cf\u5dde\u79d1\u8fbe,22.53,2.05,10.01%,0.00,456,1027954,20.48,22.53,22.53,22.53,-,-,-,-,-,-,-,-,0.00%,2.49,0.09,178.59"
"1,600909,\u534e\u5b89\u8bc1\u5238,13.52,1.23,10.01%,0.00,42082,56895216,12.29,13.52,13.52,13.52,-,-,-,-,-,-,-,-,0.00%,8.51,0.53,91.96"
"1,600466,\u84dd\u5149\u53d1\u5c55,9.78,0.89,10.01%,0.00,321968,314884576,8.89,9.78,9.78,9.78,-,-,-,-,-,-,-,-,0.00%,0.81,3.68,75.08"
"1,603559,\u4e2d\u901a\u56fd\u8109,26.38,2.40,10.01%,0.00,121,319726,23.98,26.38,26.38,26.38,-,-,-,-,-,-,-,-,0.00%,2.31,0.06,79.78"
"1,601882,\u6d77\u5929\u7cbe\u5de5,23.42,2.13,10.00%,0.00,5470,12811700,21.29,23.42,23.42,23.42,-,-,-,-,-,-,-,-,0.00%,2.45,1.05,180.03"
"1,600679,\u4e0a\u6d77\u51e4\u51f0,33.80,3.07,9.99%,7.48,216578,722725984,30.73,32.00,33.80,31.50,-,-,-,-,-,-,-,-,0.00%,1.11,11.60,296.84"
"1,603633,\u5f95\u6728\u80a1\u4efd,49.10,4.46,9.99%,7.10,208340,1003200336,44.64,46.60,49.10,45.93,-,-,-,-,-,-,-,-,0.00%,155.06,69.24,124.54"
"1,600021,\u4e0a\u6d77\u7535\u529b,12.90,1.17,9.97%,0.00,33100,42698987,11.73,12.90,12.90,12.90,-,-,-,-,-,-,-,-,0.00%,0.17,0.15,25.30"
"1,600069,\u94f6\u9e3d\u6295\u8d44,11.59,1.05,9.96%,14.61,1175094,1312815808,10.54,10.97,11.59,10.05,-,-,-,-,-,-,-,-,0.00%,3.60,14.24,-"
"1,601116,\u4e09\u6c5f\u8d2d\u7269,44.46,3.77,9.27%,7.89,343723,1517173840,40.69,44.00,44.76,41.55,-,-,-,-,-,-,-,-,-0.67%,1.11,8.55,178.70"
"1,600337,\u7f8e\u514b\u5bb6\u5c45,15.53,0.79,5.36%,7.26,697609,1090572656,14.74,16.21,16.21,15.14,-,-,-,-,-,-,-,-,0.39%,7.53,10.82,34.26"
"1,600084,\u4e2d\u8461\u80a1\u4efd,12.77,0.56,4.59%,10.97,960497,1232089312,12.21,12.01,13.35,12.01,-,-,-,-,-,-,-,-,1.27%,1.49,9.62,-"
"1,600814,\u676d\u5dde\u89e3\u767e,11.40,0.47,4.30%,8.33,660824,760700144,10.93,11.14,12.02,11.11,-,-,-,-,-,-,-,-,0.97%,8.94,21.29,45.00"
"1,600608,\u4e0a\u6d77\u79d1\u6280,16.41,0.65,4.12%,11.61,297506,494688976,15.76,15.71,17.34,15.51,-,-,-,-,-,-,-,-,0.37%,1.40,9.34,-"
"1,600803,\u65b0\u5965\u80a1\u4efd,13.87,0.53,3.97%,7.50,215311,302308512,13.34,13.45,14.45,13.45,-,-,-,-,-,-,-,-,0.00%,2.02,2.18,52.01"
